CR #,Build,Top Label,Owner,Issues,Analysis,Date,CRs
IKUT-826652,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/9/2015,
IKUT-826904,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/9/2015,
IKUT-826938,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/9/2015,
IKUT-825767,LPH23.145-22 clark_retcn_ds,Low EBL,,,,12/9/2015,
IKUT-826085,LPH23.145-22,Low EBL,,,,12/9/2015,
IKUT-826269,LPH23.145-22 clark_retcn_ds,Low EBL,,,,12/9/2015,
IKUT-826775,LPH23.145-22,Low EBL,,,,12/9/2015,
IKUT-826792,LPH23.145-22,Low EBL,,,,12/9/2015,
IKUT-827011,LPH23.145-22,High Background CD,,,,12/9/2015,2
IKUT-827014,LPH23.145-22,High Background CD,,,,12/9/2015,
IKUT-827042,LPH23.145-22,High Background Uptime,,,,12/10/2015,17
IKUT-827280,LPH23.145-7,High Background Uptime,,,,12/10/2015,
IKUT-827030,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/10/2015,
IKUT-827039,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/10/2015,
IKUT-827051,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/10/2015,
IKUT-827052,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/10/2015,
IKUT-827053,LPH23.145-22,High Background CD,,,,12/10/2015,
IKUT-827064,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/10/2015,
IKUT-827147,LPH23.145-22,High Background CD,,,,12/10/2015,
IKUT-827206,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/10/2015,
IKUT-827236,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/10/2015,
IKUT-827270,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/10/2015,
IKUT-827099,LPH23.145-21 clark_retcn_ds,High NightTime CD,,,,12/10/2015,
IKUT-827200,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/10/2015,
IKUT-827065,LPH23.145-22 clark_retcn_ds,Low EBL,,,,12/10/2015,
IKUT-827078,LPH23.145-22,Low EBL,,,,12/10/2015,
IKUT-827279,LPH23.145-13,Low EBL,,,,12/10/2015,
IKUT-827376,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,58
IKUT-827637,LPH23.145-7,High Background Uptime,,,,12/14/2015,
IKUT-827819,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-827912,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-827914,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-827922,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-827924,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-827983,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-828013,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-828172,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-828191,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-828221,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-828250,LPH23.145-22 clark_retcn_ds,High Background Uptime,,,,12/14/2015,
IKUT-827342,LPH23.145-22,High Background CD,,,,12/14/2015,
IKUT-827357,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827381,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827460,LPH23.145-19 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827492,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827509,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827526,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827530,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827531,LPH23.145-22,High Background CD,,,,12/14/2015,
IKUT-827615,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827635,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827668,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827669,LPH23.145-22,High Background CD,,,,12/14/2015,
IKUT-827674,LPH23.145-22,High Background CD,,,,12/14/2015,
IKUT-827675,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827682,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827889,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827923,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827927,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827936,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827948,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827993,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-828012,LPH23.145-22,High Background CD,,,,12/14/2015,
IKUT-828049,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-828169,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-828179,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-828182,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-828192,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-828214,LPH23.145-22 clark_retcn_ds,High Background CD,,,,12/14/2015,
IKUT-827687,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/14/2015,
IKUT-827862,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/14/2015,
IKUT-828039,LPH23.145-19 clark_retcn_ds,High NightTime CD,,,,12/14/2015,
IKUT-828134,LPH23.145-22,High NightTime CD,,,,12/14/2015,
IKUT-828177,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/14/2015,
IKUT-828243,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/14/2015,
IKUT-828244,LPH23.145-22,High NightTime CD,,,,12/14/2015,
IKUT-828272,LPH23.145-22,High NightTime CD,,,,12/14/2015,
IKUT-828273,LPH23.145-22 clark_retcn_ds,High NightTime CD,,,,12/14/2015,
IKUT-828323,LPH23.145-22,High NightTime CD,,,,12/14/2015,
IKUT-827332,LPH23.145-22,Low EBL,,,,12/14/2015,
IKUT-827338,LPH23.145-22 clark_retcn_ds,Low EBL,,,,12/14/2015,
IKUT-827629,LPH23.145-22 clark_retcn_ds,Low EBL,,,,12/14/2015,
IKUT-827690,LPH23.145-13,Low EBL,,,,12/14/2015,
IKUT-827905,LPH23.145-22 clark_retcn_ds,Low EBL,,,,12/14/2015,
IKUT-827952,LPH23.145-22,Low EBL,,,,12/14/2015,
